epoch #,Training loss,Validation loss,epoch_time (seconds)
37,1.2467052993914959e-05,7.969578704353848e-06,176
38,1.1781069386581128e-05,6.957457232110416e-06,176
39,1.0892232954078777e-05,8.690322870590184e-06,176
40,1.2102595276453278e-05,1.2495234873793334e-05,176
41,1.2814087435386186e-05,1.274518948482199e-05,176
42,1.0530827044435269e-05,1.2873599152501906e-05,175
43,9.29210105162135e-06,1.2837844703386982e-05,175
44,1.0622885426776272e-05,1.8360104387052473e-05,176
45,8.745717775375603e-06,7.301383807231861e-06,175
46,8.352856457349845e-06,1.9707124122686995e-05,175
47,8.316936195611065e-06,5.610134213491631e-06,175
48,8.160189377535558e-06,8.791637497124159e-06,176
49,1.0367125915680927e-05,1.8597725311846267e-05,175
50,9.198408598339566e-06,5.709265747806419e-06,175
51,5.81434590044823e-06,4.171944547802324e-06,177
52,6.678555614185329e-06,5.725276729231014e-06,175
53,9.837220740419898e-06,9.80664166558685e-06,174
54,5.4144095371487885e-06,6.1249462314606615e-06,171
55,9.249598199610112e-06,4.363501095823092e-06,176
56,5.206661227765091e-06,5.551527548891923e-06,188
57,6.529061715396396e-06,3.7809530176278e-06,187
58,1.1327370507801375e-05,4.310132896890813e-06,174
59,4.892822808787142e-06,3.3964100986386876e-06,178
60,6.778834222958804e-06,9.099075963468687e-06,177
61,5.400616509260462e-06,4.222058347939378e-06,176
62,4.887048380624037e-06,4.5044173097696375e-06,176
63,5.991071583676702e-06,5.015178986180426e-06,177
64,9.646920346891751e-06,3.139570997529902e-06,176
65,4.316799508656418e-06,6.237183990960831e-06,175
66,4.5629443444671445e-06,5.466911211866171e-06,175
67,6.433235327924855e-06,1.2114144249986702e-05,174
68,6.52293947826944e-06,6.435680848677655e-06,176
69,4.9182954849543005e-06,3.1942257539966427e-06,169
70,4.921873189067066e-06,6.026461866177833e-06,172
71,5.244068074303372e-06,3.6495001488151926e-06,175
72,5.690713524844878e-06,4.814191833931138e-06,176
73,6.310216743837703e-06,1.6949337267512153e-05,173
74,5.41073992611597e-06,3.4749641618980617e-06,174
75,6.685821711223319e-06,6.878953488001187e-06,175
76,3.7780893117914356e-06,4.52413727882841e-06,270
77,5.152793164597824e-06,1.2621740711861857e-05,179
78,8.209280161033596e-06,9.981937042505463e-06,178
79,5.263167936804662e-06,2.992250390844047e-06,176
80,4.109919675763442e-06,1.0127260242969337e-05,177
81,4.626047858354551e-06,7.50535496906043e-06,174
82,7.1271918006294234e-06,2.8776621588549914e-06,176
83,2.952942288009746e-06,7.693388131245353e-06,175
84,4.35992006218426e-06,2.4756892213100056e-06,174
85,4.43776808837852e-06,3.223094560741194e-06,175
86,4.619401156146936e-06,2.7572629796454945e-06,176
87,3.753011756502515e-06,7.3293670420357755e-06,176
88,5.366874851130309e-06,2.7285119036571573e-06,177
89,9.596127893019001e-06,1.6821782788633613e-05,171
90,4.1941045153428355e-06,3.5943886468772487e-06,177
91,2.852188324389069e-06,2.512336979905864e-06,174
92,3.892501046555646e-06,2.0420301047779956e-06,188
93,3.0965083731809335e-06,2.580944531061126e-06,187
94,1.5019178430189972e-05,4.115927751333419e-06,174
95,3.570404670344115e-06,2.9935464418649757e-06,170
96,3.886898269808047e-06,4.314328850782178e-06,170
97,5.440527976878167e-06,2.8812643127222705e-06,170
98,2.7072737595352174e-06,7.218195625897374e-06,170
99,4.91328516628445e-06,2.776980253154038e-06,172
100,2.846238651479573e-06,1.8485619228621833e-06,171
101,8.640866596000375e-06,3.882515862495447e-06,174
102,2.4020840758318873e-06,2.2830455406580332e-06,176
103,7.407363302098185e-06,4.525524525109046e-06,175
104,2.116920541497662e-06,3.402976358203254e-06,176
105,2.483931871211098e-06,1.648460042702733e-06,175
106,5.498016836843982e-06,9.195217530251278e-06,176
107,4.290218218391766e-06,1.7455063963939635e-06,176
108,1.961233914368098e-06,1.6225898823294476e-06,176
109,8.521591864171734e-06,3.7182117939269316e-06,176
110,1.6122156714779769e-06,1.7437183540163945e-06,175
111,2.698829934657128e-06,7.106857884319534e-06,176
112,2.589171968297292e-06,2.051609819123509e-06,176
113,4.50354243102166e-06,1.8238281046584653e-06,175
114,2.9121681059636597e-06,2.5337377076437587e-06,175
115,4.4431756751609185e-06,4.9067237848661e-06,174
116,1.953050217790323e-06,1.5301012066776358e-06,174
117,9.196839018841274e-06,4.096563832672755e-06,175
